Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_407_5680_1_nw;2018-04-06;nn;407000;5680000
dop10rgbi_32_407_5682_1_nw;2018-04-06;nn;407000;5682000
dop10rgbi_32_407_5684_1_nw;2018-04-06;nn;407000;5684000
dop10rgbi_32_407_5685_1_nw;2018-04-06;nn;407000;5685000
dop10rgbi_32_407_5686_1_nw;2018-04-06;nn;407000;5686000
dop10rgbi_32_404_5688_1_nw;2018-04-06;nn;404000;5688000
dop10rgbi_32_404_5689_1_nw;2018-04-06;nn;404000;5689000
dop10rgbi_32_405_5688_1_nw;2018-04-06;nn;405000;5688000
dop10rgbi_32_405_5689_1_nw;2018-04-06;nn;405000;5689000
dop10rgbi_32_406_5688_1_nw;2018-04-06;nn;406000;5688000
dop10rgbi_32_406_5689_1_nw;2018-04-06;nn;406000;5689000
dop10rgbi_32_412_5670_1_nw;2018-04-06;nn;412000;5670000
dop10rgbi_32_413_5670_1_nw;2018-04-06;nn;413000;5670000
dop10rgbi_32_413_5671_1_nw;2018-04-06;nn;413000;5671000
dop10rgbi_32_414_5670_1_nw;2018-04-06;nn;414000;5670000
dop10rgbi_32_414_5671_1_nw;2018-04-06;nn;414000;5671000
dop10rgbi_32_415_5670_1_nw;2018-04-06;nn;415000;5670000
dop10rgbi_32_415_5671_1_nw;2018-04-06;nn;415000;5671000
dop10rgbi_32_416_5671_1_nw;2018-04-06;nn;416000;5671000
dop10rgbi_32_417_5671_1_nw;2018-04-06;nn;417000;5671000
dop10rgbi_32_418_5670_1_nw;2018-04-06;nn;418000;5670000
dop10rgbi_32_419_5670_1_nw;2018-04-06;nn;419000;5670000
dop10rgbi_32_420_5670_1_nw;2018-04-06;nn;420000;5670000
dop10rgbi_32_420_5671_1_nw;2018-04-06;nn;420000;5671000
dop10rgbi_32_422_5670_1_nw;2018-04-06;nn;422000;5670000
dop10rgbi_32_422_5671_1_nw;2018-04-06;nn;422000;5671000
dop10rgbi_32_423_5671_1_nw;2018-04-06;nn;423000;5671000
dop10rgbi_32_408_5672_1_nw;2018-04-06;nn;408000;5672000
dop10rgbi_32_408_5673_1_nw;2018-04-06;nn;408000;5673000
dop10rgbi_32_408_5674_1_nw;2018-04-06;nn;408000;5674000
dop10rgbi_32_408_5675_1_nw;2018-04-06;nn;408000;5675000
dop10rgbi_32_408_5676_1_nw;2018-04-06;nn;408000;5676000
dop10rgbi_32_408_5682_1_nw;2018-04-06;nn;408000;5682000
dop10rgbi_32_408_5683_1_nw;2018-04-06;nn;408000;5683000
dop10rgbi_32_408_5684_1_nw;2018-04-06;nn;408000;5684000
dop10rgbi_32_408_5685_1_nw;2018-04-06;nn;408000;5685000
dop10rgbi_32_408_5686_1_nw;2018-04-06;nn;408000;5686000
dop10rgbi_32_409_5672_1_nw;2018-04-06;nn;409000;5672000
dop10rgbi_32_409_5673_1_nw;2018-04-06;nn;409000;5673000
dop10rgbi_32_409_5674_1_nw;2018-04-06;nn;409000;5674000
dop10rgbi_32_409_5675_1_nw;2018-04-06;nn;409000;5675000
dop10rgbi_32_409_5676_1_nw;2018-04-06;nn;409000;5676000
