Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_295_5633_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5633000
dop10rgbi_32_295_5634_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5634000
dop10rgbi_32_295_5635_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5635000
dop10rgbi_32_295_5636_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5636000
dop10rgbi_32_295_5637_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5637000
dop10rgbi_32_295_5638_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5638000
dop10rgbi_32_295_5639_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5639000
dop10rgbi_32_294_5640_1_nw;2019-06-28;1312/19 Aachen Düren;294000;5640000
dop10rgbi_32_294_5641_1_nw;2019-06-28;1312/19 Aachen Düren;294000;5641000
dop10rgbi_32_295_5640_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5640000
dop10rgbi_32_295_5641_1_nw;2019-06-28;1312/19 Aachen Düren;295000;5641000
dop10rgbi_32_298_5604_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5604000
dop10rgbi_32_298_5605_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5605000
dop10rgbi_32_299_5604_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5604000
dop10rgbi_32_299_5605_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5605000
dop10rgbi_32_300_5600_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5600000
dop10rgbi_32_300_5601_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5601000
dop10rgbi_32_300_5602_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5602000
dop10rgbi_32_300_5603_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5603000
dop10rgbi_32_300_5604_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5604000
dop10rgbi_32_300_5605_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5605000
dop10rgbi_32_301_5600_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5600000
dop10rgbi_32_301_5601_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5601000
dop10rgbi_32_301_5602_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5602000
dop10rgbi_32_301_5603_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5603000
dop10rgbi_32_301_5604_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5604000
dop10rgbi_32_301_5605_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5605000
dop10rgbi_32_302_5596_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5596000
dop10rgbi_32_302_5597_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5597000
dop10rgbi_32_302_5598_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5598000
dop10rgbi_32_302_5599_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5599000
dop10rgbi_32_302_5600_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5600000
dop10rgbi_32_302_5601_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5601000
dop10rgbi_32_302_5602_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5602000
dop10rgbi_32_302_5603_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5603000
dop10rgbi_32_302_5604_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5604000
dop10rgbi_32_302_5605_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5605000
dop10rgbi_32_302_5606_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5606000
dop10rgbi_32_302_5607_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5607000
dop10rgbi_32_303_5596_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5596000
dop10rgbi_32_303_5597_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5597000
dop10rgbi_32_303_5598_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5598000
dop10rgbi_32_303_5599_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5599000
dop10rgbi_32_303_5600_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5600000
dop10rgbi_32_303_5601_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5601000
dop10rgbi_32_303_5602_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5602000
dop10rgbi_32_303_5603_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5603000
dop10rgbi_32_303_5604_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5604000
dop10rgbi_32_303_5605_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5605000
dop10rgbi_32_303_5606_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5606000
dop10rgbi_32_303_5607_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5607000
dop10rgbi_32_304_5596_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5596000
dop10rgbi_32_304_5597_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5597000
dop10rgbi_32_304_5598_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5598000
dop10rgbi_32_304_5599_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5599000
dop10rgbi_32_304_5600_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5600000
dop10rgbi_32_304_5601_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5601000
dop10rgbi_32_304_5602_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5602000
dop10rgbi_32_304_5603_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5603000
dop10rgbi_32_304_5604_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5604000
dop10rgbi_32_304_5605_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5605000
dop10rgbi_32_304_5606_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5606000
dop10rgbi_32_304_5607_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5607000
dop10rgbi_32_305_5596_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5596000
dop10rgbi_32_305_5597_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5597000
dop10rgbi_32_305_5598_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5598000
dop10rgbi_32_305_5599_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5599000
dop10rgbi_32_305_5600_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5600000
dop10rgbi_32_305_5601_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5601000
dop10rgbi_32_305_5602_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5602000
dop10rgbi_32_305_5603_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5603000
dop10rgbi_32_305_5604_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5604000
dop10rgbi_32_305_5605_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5605000
dop10rgbi_32_305_5606_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5606000
dop10rgbi_32_305_5607_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5607000
dop10rgbi_32_306_5596_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5596000
dop10rgbi_32_306_5597_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5597000
dop10rgbi_32_306_5598_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5598000
dop10rgbi_32_306_5599_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5599000
dop10rgbi_32_306_5600_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5600000
dop10rgbi_32_306_5601_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5601000
dop10rgbi_32_306_5602_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5602000
dop10rgbi_32_306_5603_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5603000
dop10rgbi_32_306_5604_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5604000
dop10rgbi_32_306_5605_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5605000
dop10rgbi_32_306_5606_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5606000
dop10rgbi_32_306_5607_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5607000
dop10rgbi_32_307_5596_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5596000
dop10rgbi_32_307_5597_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5597000
dop10rgbi_32_307_5598_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5598000
dop10rgbi_32_307_5599_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5599000
dop10rgbi_32_307_5600_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5600000
dop10rgbi_32_307_5601_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5601000
dop10rgbi_32_307_5602_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5602000
dop10rgbi_32_307_5603_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5603000
dop10rgbi_32_307_5604_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5604000
dop10rgbi_32_307_5605_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5605000
dop10rgbi_32_307_5606_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5606000
dop10rgbi_32_307_5607_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5607000
dop10rgbi_32_308_5596_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5596000
dop10rgbi_32_308_5597_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5597000
dop10rgbi_32_308_5598_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5598000
dop10rgbi_32_308_5599_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5599000
dop10rgbi_32_308_5600_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5600000
dop10rgbi_32_308_5601_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5601000
dop10rgbi_32_308_5602_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5602000
dop10rgbi_32_308_5603_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5603000
dop10rgbi_32_308_5604_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5604000
dop10rgbi_32_308_5605_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5605000
dop10rgbi_32_308_5606_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5606000
dop10rgbi_32_308_5607_1_nw;2019-06-28;1312/19 Aachen Düren;308000;5607000
dop10rgbi_32_309_5596_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5596000
dop10rgbi_32_309_5597_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5597000
dop10rgbi_32_309_5598_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5598000
dop10rgbi_32_309_5599_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5599000
dop10rgbi_32_309_5600_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5600000
dop10rgbi_32_309_5601_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5601000
dop10rgbi_32_309_5602_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5602000
dop10rgbi_32_309_5603_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5603000
dop10rgbi_32_309_5604_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5604000
dop10rgbi_32_309_5605_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5605000
dop10rgbi_32_309_5606_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5606000
dop10rgbi_32_309_5607_1_nw;2019-06-28;1312/19 Aachen Düren;309000;5607000
dop10rgbi_32_310_5596_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5596000
dop10rgbi_32_310_5597_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5597000
dop10rgbi_32_310_5598_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5598000
dop10rgbi_32_310_5599_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5599000
dop10rgbi_32_310_5600_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5600000
dop10rgbi_32_310_5601_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5601000
dop10rgbi_32_310_5602_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5602000
dop10rgbi_32_310_5603_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5603000
dop10rgbi_32_310_5604_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5604000
dop10rgbi_32_310_5605_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5605000
dop10rgbi_32_310_5606_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5606000
dop10rgbi_32_310_5607_1_nw;2019-06-28;1312/19 Aachen Düren;310000;5607000
dop10rgbi_32_311_5596_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5596000
dop10rgbi_32_311_5597_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5597000
dop10rgbi_32_311_5598_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5598000
dop10rgbi_32_311_5599_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5599000
dop10rgbi_32_311_5600_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5600000
dop10rgbi_32_311_5601_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5601000
dop10rgbi_32_311_5602_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5602000
dop10rgbi_32_311_5603_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5603000
dop10rgbi_32_311_5604_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5604000
dop10rgbi_32_311_5605_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5605000
dop10rgbi_32_311_5606_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5606000
dop10rgbi_32_311_5607_1_nw;2019-06-28;1312/19 Aachen Düren;311000;5607000
dop10rgbi_32_296_5618_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5618000
dop10rgbi_32_296_5619_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5619000
dop10rgbi_32_296_5620_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5620000
dop10rgbi_32_296_5621_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5621000
dop10rgbi_32_296_5622_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5622000
dop10rgbi_32_296_5623_1_nw;2019-06-28;1312/19 Aachen Düren;296000;5623000
dop10rgbi_32_297_5618_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5618000
dop10rgbi_32_297_5619_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5619000
dop10rgbi_32_297_5620_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5620000
dop10rgbi_32_297_5621_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5621000
dop10rgbi_32_297_5622_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5622000
dop10rgbi_32_297_5623_1_nw;2019-06-28;1312/19 Aachen Düren;297000;5623000
dop10rgbi_32_298_5612_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5612000
dop10rgbi_32_298_5613_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5613000
dop10rgbi_32_298_5614_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5614000
dop10rgbi_32_298_5615_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5615000
dop10rgbi_32_298_5616_1_nw;2019-08-23;1312/19 Aachen Düren;298000;5616000
dop10rgbi_32_298_5617_1_nw;2019-08-23;1312/19 Aachen Düren;298000;5617000
dop10rgbi_32_298_5618_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5618000
dop10rgbi_32_298_5619_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5619000
dop10rgbi_32_298_5620_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5620000
dop10rgbi_32_298_5621_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5621000
dop10rgbi_32_298_5622_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5622000
dop10rgbi_32_298_5623_1_nw;2019-06-28;1312/19 Aachen Düren;298000;5623000
dop10rgbi_32_299_5612_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5612000
dop10rgbi_32_299_5613_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5613000
dop10rgbi_32_299_5614_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5614000
dop10rgbi_32_299_5615_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5615000
dop10rgbi_32_299_5616_1_nw;2019-08-23;1312/19 Aachen Düren;299000;5616000
dop10rgbi_32_299_5617_1_nw;2019-08-23;1312/19 Aachen Düren;299000;5617000
dop10rgbi_32_299_5618_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5618000
dop10rgbi_32_299_5619_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5619000
dop10rgbi_32_299_5620_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5620000
dop10rgbi_32_299_5621_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5621000
dop10rgbi_32_299_5622_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5622000
dop10rgbi_32_299_5623_1_nw;2019-06-28;1312/19 Aachen Düren;299000;5623000
dop10rgbi_32_300_5610_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5610000
dop10rgbi_32_300_5611_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5611000
dop10rgbi_32_300_5612_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5612000
dop10rgbi_32_300_5613_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5613000
dop10rgbi_32_300_5614_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5614000
dop10rgbi_32_300_5615_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5615000
dop10rgbi_32_300_5616_1_nw;2019-08-23;1312/19 Aachen Düren;300000;5616000
dop10rgbi_32_300_5617_1_nw;2019-08-23;1312/19 Aachen Düren;300000;5617000
dop10rgbi_32_300_5618_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5618000
dop10rgbi_32_300_5619_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5619000
dop10rgbi_32_300_5620_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5620000
dop10rgbi_32_300_5621_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5621000
dop10rgbi_32_300_5622_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5622000
dop10rgbi_32_300_5623_1_nw;2019-06-28;1312/19 Aachen Düren;300000;5623000
dop10rgbi_32_301_5610_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5610000
dop10rgbi_32_301_5611_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5611000
dop10rgbi_32_301_5612_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5612000
dop10rgbi_32_301_5613_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5613000
dop10rgbi_32_301_5614_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5614000
dop10rgbi_32_301_5615_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5615000
dop10rgbi_32_301_5616_1_nw;2019-08-23;1312/19 Aachen Düren;301000;5616000
dop10rgbi_32_301_5617_1_nw;2019-08-23;1312/19 Aachen Düren;301000;5617000
dop10rgbi_32_301_5618_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5618000
dop10rgbi_32_301_5619_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5619000
dop10rgbi_32_301_5620_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5620000
dop10rgbi_32_301_5621_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5621000
dop10rgbi_32_301_5622_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5622000
dop10rgbi_32_301_5623_1_nw;2019-06-28;1312/19 Aachen Düren;301000;5623000
dop10rgbi_32_302_5612_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5612000
dop10rgbi_32_302_5613_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5613000
dop10rgbi_32_302_5614_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5614000
dop10rgbi_32_302_5615_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5615000
dop10rgbi_32_302_5616_1_nw;2019-08-23;1312/19 Aachen Düren;302000;5616000
dop10rgbi_32_302_5617_1_nw;2019-08-23;1312/19 Aachen Düren;302000;5617000
dop10rgbi_32_302_5618_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5618000
dop10rgbi_32_302_5619_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5619000
dop10rgbi_32_302_5620_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5620000
dop10rgbi_32_302_5621_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5621000
dop10rgbi_32_302_5622_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5622000
dop10rgbi_32_302_5623_1_nw;2019-06-28;1312/19 Aachen Düren;302000;5623000
dop10rgbi_32_303_5612_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5612000
dop10rgbi_32_303_5613_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5613000
dop10rgbi_32_303_5614_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5614000
dop10rgbi_32_303_5615_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5615000
dop10rgbi_32_303_5616_1_nw;2019-08-23;1312/19 Aachen Düren;303000;5616000
dop10rgbi_32_303_5617_1_nw;2019-08-23;1312/19 Aachen Düren;303000;5617000
dop10rgbi_32_303_5618_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5618000
dop10rgbi_32_303_5619_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5619000
dop10rgbi_32_303_5620_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5620000
dop10rgbi_32_303_5621_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5621000
dop10rgbi_32_303_5622_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5622000
dop10rgbi_32_303_5623_1_nw;2019-06-28;1312/19 Aachen Düren;303000;5623000
dop10rgbi_32_304_5608_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5608000
dop10rgbi_32_304_5609_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5609000
dop10rgbi_32_304_5610_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5610000
dop10rgbi_32_304_5611_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5611000
dop10rgbi_32_304_5612_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5612000
dop10rgbi_32_304_5613_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5613000
dop10rgbi_32_304_5614_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5614000
dop10rgbi_32_304_5615_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5615000
dop10rgbi_32_304_5616_1_nw;2019-08-23;1312/19 Aachen Düren;304000;5616000
dop10rgbi_32_304_5617_1_nw;2019-08-23;1312/19 Aachen Düren;304000;5617000
dop10rgbi_32_304_5618_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5618000
dop10rgbi_32_304_5619_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5619000
dop10rgbi_32_304_5620_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5620000
dop10rgbi_32_304_5621_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5621000
dop10rgbi_32_304_5622_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5622000
dop10rgbi_32_304_5623_1_nw;2019-06-28;1312/19 Aachen Düren;304000;5623000
dop10rgbi_32_305_5608_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5608000
dop10rgbi_32_305_5609_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5609000
dop10rgbi_32_305_5610_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5610000
dop10rgbi_32_305_5611_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5611000
dop10rgbi_32_305_5612_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5612000
dop10rgbi_32_305_5613_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5613000
dop10rgbi_32_305_5614_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5614000
dop10rgbi_32_305_5615_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5615000
dop10rgbi_32_305_5616_1_nw;2019-08-23;1312/19 Aachen Düren;305000;5616000
dop10rgbi_32_305_5617_1_nw;2019-08-23;1312/19 Aachen Düren;305000;5617000
dop10rgbi_32_305_5618_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5618000
dop10rgbi_32_305_5619_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5619000
dop10rgbi_32_305_5620_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5620000
dop10rgbi_32_305_5621_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5621000
dop10rgbi_32_305_5622_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5622000
dop10rgbi_32_305_5623_1_nw;2019-06-28;1312/19 Aachen Düren;305000;5623000
dop10rgbi_32_306_5608_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5608000
dop10rgbi_32_306_5609_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5609000
dop10rgbi_32_306_5610_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5610000
dop10rgbi_32_306_5611_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5611000
dop10rgbi_32_306_5612_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5612000
dop10rgbi_32_306_5613_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5613000
dop10rgbi_32_306_5614_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5614000
dop10rgbi_32_306_5615_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5615000
dop10rgbi_32_306_5616_1_nw;2019-08-23;1312/19 Aachen Düren;306000;5616000
dop10rgbi_32_306_5617_1_nw;2019-08-23;1312/19 Aachen Düren;306000;5617000
dop10rgbi_32_306_5618_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5618000
dop10rgbi_32_306_5619_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5619000
dop10rgbi_32_306_5620_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5620000
dop10rgbi_32_306_5621_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5621000
dop10rgbi_32_306_5622_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5622000
dop10rgbi_32_306_5623_1_nw;2019-06-28;1312/19 Aachen Düren;306000;5623000
dop10rgbi_32_307_5608_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5608000
dop10rgbi_32_307_5609_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5609000
dop10rgbi_32_307_5610_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5610000
dop10rgbi_32_307_5611_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5611000
dop10rgbi_32_307_5612_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5612000
dop10rgbi_32_307_5613_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5613000
dop10rgbi_32_307_5614_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5614000
dop10rgbi_32_307_5615_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5615000
dop10rgbi_32_307_5616_1_nw;2019-08-23;1312/19 Aachen Düren;307000;5616000
dop10rgbi_32_307_5617_1_nw;2019-08-23;1312/19 Aachen Düren;307000;5617000
dop10rgbi_32_307_5618_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5618000
dop10rgbi_32_307_5619_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5619000
dop10rgbi_32_307_5620_1_nw;2019-06-28;1312/19 Aachen Düren;307000;5620000
